#Jewel GMD Key(Key of gmd file);Jewel Name(Just for ID);Skill Name 1,Increased Number,Skill Name 2,Increased Number
JU_DOKU_NAME;Antidote Jewel 1;Poison Resistance,1
JU_MAHI_NAME;Antipara Jewel 1;Paralysis Resistance,1
JU_SUIMIN_NAME;Pep Jewel 1;Sleep Resistance,1
JU_KIZETSU_NAME;Steadfast Jewel 1;Stun Resistance,1
JU_BAKUHA_NAME;Antiblast Jewel 1;Blast Resistance,1
JU_RESSYOU_NAME;Suture Jewel 1;Bleeding Resistance,1
JU_BOUDOWN_NAME;Def Lock Jewel 1;Iron Skin,1
JU_MIMISEN_NAME;Earplug Jewel 3;Earplugs,1
JU_BOUHUU_NAME;Wind Resist Jewel 2;Windproof,1
JU_TAISHIN_NAME;Footing Jewel 2;Tremor Resistance,1
JU_KOUGEKI_NAME;Attack Jewel 1;Attack Boost,1
JU_BOUGYO_NAME;Defense Jewel 1;Defense Boost,1
JU_TAIRYOKU_NAME;Vitality Jewel 1;Health Boost,1
JU_KAISOKU_NAME;Recovery Jewel 1;Recovery Speed,1
JU_HI_NAME;Fire Res Jewel 1;Fire Resistance,1
JU_MIZU_NAME;Water Res Jewel 1;Water Resistance,1
JU_KOORI_NAME;Ice Res Jewel 1;Ice Resistance,1
JU_KAMINARI_NAME;Thunder Res Jewel 1;Thunder Resistance,1
JU_RYUU_NAME;Dragon Res Jewel 1;Dragon Resistance,1
JU_TAIZOKU_NAME;Resistor Jewel 1;Blight Resistance,1
JU_HIZOKU_NAME;Blaze Jewel 1;Fire Attack,1
JU_MIZUZOKU_NAME;Stream Jewel 1;Water Attack,1
JU_KOURIZOKU_NAME;Frost Jewel 1;Ice Attack,1
JU_RAIZOKU_NAME;Bolt Jewel 1;Thunder Attack,1
JU_RYUUZOKU_NAME;Dragon Jewel 1;Dragon Attack,1
JU_DOKUATK_NAME;Venom Jewel 1;Poison Attack,1
JU_MAHIATK_NAME;Paralyzer Jewel 1;Paralysis Attack,1
JU_SUIMINATK_NAME;Sleep Jewel 1;Sleep Attack,1
JU_BAKUHAATK_NAME;Blast Jewel 1;Blast Attack,1
JU_DOKUBIN_NAME;Poisoncoat Jewel 3;Poison Functionality,1
JU_MAHIBIN_NAME;Paracoat Jewel 3;Paralysis Functionality,1
JU_SUIMINBIN_NAME;Sleepcoat Jewel 3;Sleep Functionality,1
JU_BAKUHABIN_NAME;Blastcoat Jewel 3;Blast Functionality,1
JU_ZOKUKAI_NAME;Release Jewel 3;Free Elem/Ammo Up,1
JU_MIKIRI_NAME;Expert Jewel 1;Critical Eye,1
JU_TYOKAISIN_NAME;Critical Jewel 2;Critical Boost,1
